EmployeeID,Name,Age,Gender,Salary,Department,JoiningDate,Email
246,GHKjkY,,Male,-1000.0,HR,,ghkjky@yahoo.com
320,qcIWMw,,FEMALE,99999999.0,Finance,2016-02-17 00:00:00,qciwmw@gmail.com
247,tUeFzz,23.0,FEMALE,99999999.0,IT,2022-07-13 00:00:00,tuefzz@yahoo.com
3,vilifW,43.0,,,HR,32-13-2020,vilifW.com
345,XZUrFW,150.0,M,0.0,HR,,xzurfw@yahoo.com
5,DIATtR,-5.0,f,99999999.0,HR,2017-11-01 00:00:00,DIATtR.com
87,Vurzqj,33.0,male,79892.0,IT,,Vurzqj.com
112,KdayDk,-5.0,,-1000.0,Sales,,kdaydk@outlook.com
8,RkjfMY,-5.0,FEMALE,-1000.0,IT,,rkjfmy@yahoo.com
9,fdeUnq,150.0,FEMALE,53192.0,IT,2017-10-21 00:00:00,fdeunq@outlook.com
263,egqIGL,43.0,male,,Sales,,egqigl@yahoo.com
302,uWqlxA,-5.0,M,99999999.0,,32-13-2020,uwqlxa@yahoo.com
12,JiTSfZ,-5.0,FEMALE,99999999.0,IT,,jitsfz@gmail.com
386,uyzxCO,150.0,male,-1000.0,Sales,,uyzxco@yahoo.com
5,JJuZqk,54.0,male,99999999.0,Sales,,jjuzqk@yahoo.com
121,sZCGyy,,Male,,Finance,2016-10-20 00:00:00,szcgyy@outlook.com
112,XgeAfz,150.0,,20355.0,IT,,xgeafz@outlook.com
394,UwBbiX,150.0,Male,,,32-13-2020,uwbbix@gmail.com
18,OoPTZf,28.0,male,99999999.0,,,ooptzf@outlook.com
111,ejwkLb,150.0,Male,0.0,,2022-05-25 00:00:00,ejwklb@gmail.com
20,eMUDWJ,29.0,f,84049.0,,32-13-2020,emudwj@outlook.com
21,ssTzXC,150.0,male,93773.0,IT,32-13-2020,sstzxc@yahoo.com
22,YVjjhp,150.0,M,0.0,Finance,32-13-2020,YVjjhp.com
65,TyZXAu,27.0,male,99999999.0,,32-13-2020,TyZXAu.com
24,uzoTCc,-5.0,M,0.0,Sales,2021-11-29 00:00:00,uzoTCc.com
25,DsJJsn,150.0,f,,,,dsjjsn@gmail.com
26,ypavYn,-5.0,,99999999.0,Finance,,ypavyn@gmail.com
284,xEFZSy,150.0,M,,Finance,32-13-2020,xefzsy@gmail.com
28,pIwZgJ,44.0,male,0.0,Finance,,piwzgj@yahoo.com
442,QoqcLp,150.0,,,Finance,,qoqclp@gmail.com
30,cxJmhG,150.0,,99999999.0,Finance,2022-02-01 00:00:00,cxjmhg@yahoo.com
31,WqZhzl,150.0,Male,,Finance,32-13-2020,wqzhzl@yahoo.com
32,ZdDkTg,-5.0,M,-1000.0,,2016-06-10 00:00:00,zddktg@yahoo.com
33,cadZFc,,f,0.0,Finance,32-13-2020,cadzfc@outlook.com
413,sSDbBX,150.0,male,99999999.0,HR,,sSDbBX.com
35,ojYOov,150.0,Male,-1000.0,,,ojyoov@gmail.com
455,etjvpm,-5.0,Male,-1000.0,IT,32-13-2020,etjvpm@yahoo.com
328,fRwwIv,150.0,FEMALE,86605.0,HR,32-13-2020,frwwiv@gmail.com
252,aSdLLq,,Male,99999999.0,IT,,asdllq@gmail.com
39,UZjhJI,-5.0,f,73529.0,,,uzjhji@gmail.com
226,ifiBFM,150.0,FEMALE,0.0,,,ifiBFM.com
41,PvoXHc,-5.0,M,,,32-13-2020,PvoXHc.com
42,OsOgLp,150.0,f,0.0,Sales,32-13-2020,osoglp@gmail.com
43,PjuhYt,,male,,IT,2022-03-12 00:00:00,pjuhyt@outlook.com
480,JbVPDC,150.0,f,63245.0,Sales,,jbvpdc@outlook.com
45,zHggAL,58.0,Male,45668.0,Finance,32-13-2020,zhggal@outlook.com
37,aAXCNW,-5.0,male,-1000.0,IT,32-13-2020,aaxcnw@yahoo.com
47,LDYzTT,,male,99999999.0,Sales,2019-12-20 00:00:00,ldyztt@outlook.com
358,SWytoX,41.0,Male,0.0,Sales,,swytox@yahoo.com
49,iaEkwY,150.0,male,23033.0,HR,32-13-2020,iaekwy@gmail.com
50,NEzsBF,,Male,48601.0,Finance,2017-12-05 00:00:00,nezsbf@gmail.com
169,tUhIay,-5.0,f,99999999.0,Finance,2020-07-13 00:00:00,tuhiay@yahoo.com
52,mZDZvy,-5.0,M,23463.0,Sales,32-13-2020,mZDZvy.com
53,pnOxYh,30.0,f,99999999.0,Sales,,pnoxyh@yahoo.com
